"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-06T22:28:16.105+01:00[Europe/London]","0.0","8.5"
"Products CRUD test","This will create a New product","SUCCESS","2022-06-06T22:28:16.106+01:00[Europe/London]","0.0","9.35"
"Categories CRUD test","Verify if the Category was added to the application","SUCCESS","2022-06-06T22:28:24.673+01:00[Europe/London]","0.0","0.12"
"Categories CRUD test","Update the Category information","SUCCESS","2022-06-06T22:28:24.800+01:00[Europe/London]","0.0","0.16"
"Categories CRUD test","Delete the product by ID","SUCCESS","2022-06-06T22:28:24.961+01:00[Europe/London]","0.0","0.25"
"Products CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-06T22:28:25.564+01:00[Europe/London]","0.0","0.1"
"Products CRUD test","Update the product information","SUCCESS","2022-06-06T22:28:25.681+01:00[Europe/London]","0.0","0.19"
"Products CRUD test","Delete the product by ID","SUCCESS","2022-06-06T22:28:25.875+01:00[Europe/London]","0.0","0.11"
"Utilities CRUD test","Get the version of Application","SUCCESS","2022-06-06T22:28:27.531+01:00[Europe/London]","0.0","0.04"
"Utilities CRUD test","Get the Health check of Application","SUCCESS","2022-06-06T22:28:27.571+01:00[Europe/London]","0.0","0.29"
"Services CRUD test","This will create a New Service","SUCCESS","2022-06-06T22:28:28.056+01:00[Europe/London]","0.0","0.11"
"Services CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-06T22:28:28.171+01:00[Europe/London]","0.0","0.05"
"Services CRUD test","Update the product information","SUCCESS","2022-06-06T22:28:28.219+01:00[Europe/London]","0.0","0.07"
"Services CRUD test","Delete the product by ID","SUCCESS","2022-06-06T22:28:28.292+01:00[Europe/London]","0.0","0.09"
"Stores CRUDS test","This will create a New Store","SUCCESS","2022-06-06T22:28:28.528+01:00[Europe/London]","0.0","0.13"
"Stores CRUDS test","Verify if the Product was added to the application","SUCCESS","2022-06-06T22:28:28.656+01:00[Europe/London]","0.0","0.04"
"Stores CRUDS test","Update the product information","SUCCESS","2022-06-06T22:28:28.699+01:00[Europe/London]","0.0","0.08"
"Stores CRUDS test","Delete the product by ID","SUCCESS","2022-06-06T22:28:28.780+01:00[Europe/London]","0.0","0.06"
